textid,sentence,label
76062,This is a repost of an earlier.,misc.forsale
76062,Thanks to several of you for offering advise on realistic prices.,misc.forsale
76062,"MAC SE/ 2.5 megs ram, 20 meg hard disk, 800 K Floppy.",misc.forsale
76062,In absolutely perfect condition.,misc.forsale
76062,"Includes Word 5, pagemaker, quark xpress, quicken and the latest versions of about a dozen other programs.",misc.forsale
76062,Price: 475.00,misc.forsale
70337,"Followup-To:kedz@wpi.wpi.edu I am looking for an inexpensive motorcycle, nothing fancy, have to be able to do all maintinence my self.",misc.forsale
70337,looking in the <$400 range.,misc.forsale
70337,"if you can help me out, GREAT!, please reply by e-mail.",misc.forsale
74731,"Hi, I am looking for a round trip Madison/Chicago --> Milan (Italy) air ticket.",misc.forsale
74731,Anybody who has a transferable ticket but will not use it please contact me at beng@cae.wisc.edu.,misc.forsale
74731,Open-jaw ticket highly desired.,misc.forsale
74731,Thank you.,misc.forsale
74731,B. T. Ting beng@cae.wisc.edu,misc.forsale
76499,I am looking for a working docking deck (deck that goes on back of camera) for an old JVC GX-S700 Tube video camera.,misc.forsale
76499,Any format is acceptable.,misc.forsale
76499,Please send me a message if you even know anything about decks for the GX-S700.,misc.forsale
76499,"Also interested in any video equipment for sale, professional or consumer.",misc.forsale
76499,Thank you.,misc.forsale
76499,----,misc.forsale
76499,bbates@pro-freedom.van.wa.us,misc.forsale
76499,-==- Pro-Freedom BBS - (206) 694-3276 ==============================================================,misc.forsale
76299,Apartment for rent in downtown Moscow!!!,misc.forsale
76299,2- room furnished apartment in a very nice location.,misc.forsale
76299,5 minutes walk to Belorusskaya subway station.,misc.forsale
76299,"Walking distance to Kremlin, major shopping centers, theaters, restaurants, and government buildings.",misc.forsale
76299,Available in early June.,misc.forsale
76299,"Please, call: (614)-459-4256 or send E-mail: vsloutsk@magnus.acs.ohio-state.edu",misc.forsale
76927,"Unless otherwise noted, I am mainly interested in USED items.",misc.forsale
76927,"If you have (any of) the following for sale, please contact me: EMail mbeck@vtssi.vt.edu Phone (703)552-4381 USMail Michael Beck 1200 Progress Street #5500E Blacksburg, Virginia 24060 Please give as much info as possible (brand, age, condition, etc) ~~~~~~~~~~WANTED as of 10AM, 4/27/93~~~~~~~~~~ COMPUTER EQUIP: 1 CHEAP (<$100) tape drive - pretty much any kind for IBM (Used) 1 Memory expansion card for PS/2 Model 50Z 1 Memory for PS/2 Model 50Z (New or Used) 1 High Density (1.2 mb) 5 1/4 disk drive EXTERNAL NON-COMPUTER EQUIP: 1 TV - 27"" or bigger, stereo 1 VCR - 4 Heads, stereo 1 Receiver - 100 Watts or more w/ Dolby Prologic Surround Sound capability 1 Bed - Full or Queen sized - LOCAL OFFERS only, please 1 Desk - LOCAL OFFERS only, please due to shipping constraints",misc.forsale
76333,From mikefran Wed Apr 21 10:55:39 EDT 1993 Article: 56 of csc.general Followup-To: poster 1981 Volkswagon Scirocco Gold exterior and interior 5 speed transmission AM/FM Stereo with cassette Sunroof Engine in good condition New Tires Needs $300 work on front left control arm because of damage caused by pothole.,misc.forsale
76333,Runs well Asking $800.00 AS IS / OBO.,misc.forsale
76333,email: mikefran@wam.umd.edu,misc.forsale
74745,"|> Fellow netters, |> |>",misc.forsale
74745,Is anybody awake out there?,misc.forsale
74745,"When someone posted a message telling people to |> stop posting computer ads to the misc.forsale group, he got about thirty |> response here, not to mention the rash of E-Mail I'm sure he received.",misc.forsale
74745,"Yet, |>",misc.forsale
74745,"another person posts a message with the subject line ""blow me"" and an even |> worse text, and only 3 or 4 people have the guts to say anything.",misc.forsale
74745,The majority Not to mention the thread about selling someone's wife.,misc.forsale
74745,"I am a guy, therefore not overly bummed by it, but a little common sense would dictate that this is offensive to many women, and not really necessary.",misc.forsale
74745,--,misc.forsale
74745,---------------------------------------------------------------------- Scott Ferguson Exxon Research & Engineering Co. Project Engineer New Jersey ----------------------------------------------------------------------,misc.forsale
74745,"All opinions, not official view of Exxon.",misc.forsale
74745,"""I must ask the question...are we going to play Stonehenge tonight?""",misc.forsale
75941,email your replies to: danj@holonet.net,misc.forsale
76483,"Title just 'bout says it all: Grasshopper Remote Controlled Car for Sale/Trade Features: -$75 racing engine installed (original included as well) -2 sets of tires -Futaba 2 channel radio with servos/receiver -body completly refinished - great shape -Battery and charger -every thing you need to have it running right out of the box, VERY fast -everything 100% I haven't run this thing in a long time.",misc.forsale
